id,camaraPk,cargos,codinomes,curriculo,foto,legislaturas,nome,profissoes,senadoId,uf
1644,185236,,Milton Vieira,,http://www.camara.gov.br/internet/deputado/bandep/154178.jpg,53,Milton Vieira Pinto,Comerciante,,
1645,185351,,Paes De Lira,,http://www.camara.gov.br/internet/deputado/bandep/154417.jpg,53,Jairo Paes de Lira,Administrador de Empresas e Coronel da Polícia Militar,,
1646,185500,,,"Arquivo 7, p. 4",,,Deoclides Antonio Santos Neto Macedo,,,
1647,185678,,Fernando Chiarelli,,http://www.camara.gov.br/internet/deputado/bandep/154734.jpg,53,Fernando Chiarelli,Professor,,
1648,185705,,José C. Stangarlini,,http://www.camara.gov.br/internet/deputado/bandep/154739.jpg,53,José Carlos Stangarlini,Advogado,,
1649,185815,,Eleuses Paiva,,http://www.camara.gov.br/internet/deputado/bandep/154919.jpg,53.54,Eleuses Vieira de Paiva,Médico e Professor Universitário,,
1650,185908,,Wilson Picler,,http://www.camara.gov.br/internet/deputado/bandep/154996.jpg,53,Wilson Picler,Professor Universitário e Empresário,,
1651,185921,,Emiliano José,,http://www.camara.gov.br/internet/deputado/bandep/154997.jpg,53.54,Emiliano José da Silva Filho,Jornalista e Professor Universitário,,
1652,186775,,Franklin Lima,,,55,Franklin Roberto de Lima Souza,,,
1653,186780,,Geraldinho,,http://www.camara.gov.br/internet/deputado/bandep/155920.jpg,53,Antonio Geraldo de Souza Henriques Filho,Superior,,
1654,187008,,Silas Freire,,,55,Silas Freire Pereira E Silva,,,
1655,187186,,Bene Camacho,,http://www.camara.gov.br/internet/deputado/bandep/156634.jpg,53,Bene André Camacho Araújo,Superior,,
1656,187315,,Charles Cozzolino,,http://www.camara.gov.br/internet/deputado/bandep/157225.jpg,53,Charles Cozzolino,,,
1657,188051,,Chico Daltro,,http://www.camara.gov.br/internet/deputado/bandep/158328.jpg,53,Francisco Tarquinio Daltro,Advogado e Bancário,,
1658,188097,,,"Arquivo 7, p. 4",,,Merlong Solano Nogueira,,,
1659,189028,,Júnior Marzola,,http://www.camara.gov.br/internet/deputado/bandep/159058.jpg,53,Angelo Crema Marzola Júnior,,,
1660,189029,,Antônia Lúcia,,http://www.camara.gov.br/internet/deputado/bandep/123756.jpg,54,Antônia Luciléia Cruz Ramos Câmara,Economista,,AC
1661,189030,,Sibá Machado,,http://www.camara.gov.br/internet/deputado/bandep/160613.jpg,54.55,Sebastião Sibá Machado Oliveira,Geógrafo,,
1662,189031,,Taumaturgo Lima,,http://www.camara.gov.br/internet/deputado/bandep/160679.jpg,54,Taumaturgo Lima Cordeiro,Bancário e Auditor-fiscal,,
1663,189032,,Celia Rocha,,http://www.camara.gov.br/internet/deputado/bandep/160624.jpg,54,Célia Maria Barbosa Rocha,Médica,,
1664,189033,,Renan Filho,,http://www.camara.gov.br/internet/deputado/bandep/160623.jpg,54,José Renan Vasconcelos Calheiros Filho,Economista,,
1665,189034,,Rosinha Da Adefal,"Roseane Cavalcanti de Freitas Estrela. Secretária especial dos Direitos da Pessoa com Deficiência do Ministério da Justiça e Cidadania<a href=""http://www.alagoas24horas.com.br/982583/rosinha-da-adefal-e-nomeada-para-secretaria-governo-interino-de-temer/"">&nbsp;</a><a href=""http://gazetaweb.globo.com/portal/noticia.php?c=12352"">http://gazetaweb.globo.com/portal/noticia.php?c=12352</a>",http://www.camara.gov.br/internet/deputado/bandep/146949.jpg,54,Roseane Cavalcante de Freitas,Funcionário Público Federal,,
1666,189035,,Rui Palmeira,,http://www.camara.gov.br/internet/deputado/bandep/76420.jpg,54,Rui Soares Palmeira,Advogado,,
1667,189036,,Henrique Oliveira,,http://www.camara.gov.br/internet/deputado/bandep/68731.jpg,54,José Henrique Oliveira,"Radialista, Apresentador de Televisão e Comunicador",,
1668,189037,,Luiz Carlos,,http://www.camara.gov.br/internet/deputado/bandep/160645.jpg,54,Luiz Carlos Gomes Dos Santos Junior,Advogado,,
1669,189038,,Professora Marcivania,,http://www.camara.gov.br/internet/deputado/bandep/160641.jpg,54.55,Marcivania do Socorro da Rocha Flexa,Professora de Português e Servidora Pública Estadual,,
1670,189039,,Afonso Florence,,http://www.camara.gov.br/internet/deputado/bandep/160508.jpg,54.55,Afonso Bandeira Florence,Servidor Público e Professor de História,,
1671,189040,,Amauri Teixeira,,http://www.camara.gov.br/internet/deputado/bandep/160603.jpg,54,Amauri Santos Teixeira,Auditor-fiscal,,
